x,y,z
177.76997864485205,370.723158593659,a
216.31068598843513,279.8856892334264,a
185.84960950514056,330.3771779787881,a
216.64849089125465,316.76365944425277,a
263.7524106386513,310.9534304821987,a
225.82164462768426,336.05709213069997,a
219.80357248590929,350.3078389883394,a
212.17285352021173,304.3416470158136,a
233.6388182973396,346.9163393914296,a
239.71527241170514,309.22449002520455,a
204.6881150930082,325.80336647518027,a
288.9278287089134,325.5546166476896,a
242.42445436830104,332.4619911097009,a
301.1312012275,366.0281344906398,a
333.62413809199364,366.266163190318,a
270.9046230530032,331.347066672644,a
227.59271793331237,333.52548828582394,a
478.7959975476547,309.3466487404444,a
483.7422194585811,260.7189397393624,a
434.78170443733234,280.8561854311004,a
473.2530073612462,279.87127031129023,a
488.04401999121467,279.5104447353917,a
559.441005372895,243.05471470112576,a
509.62749205279505,281.89490709382335,a
526.1555991380517,233.15838155441958,a
531.453542564579,261.18022989487946,a
542.6866940387162,264.53783980414903,a
496.2494689825889,306.0929950986207,a
517.7196550284957,316.37035311143063,a
587.7458924308103,326.3226223463132,a
556.428560221328,309.29690085569837,a
580.2546427124161,302.4566438777176,a
604.9880061405963,377.68513986422533,a
557.1029961865902,325.47913347750296,a
521.7885269149732,327.18820250588414,a
560.9189978691403,356.48850525726095,a
516.572304294836,367.9229445900746,a
505.46155038361144,317.17571884195854,a
480.3593198542106,358.6044263336765,a
507.1716156770833,323.83278671644814,a
433.7618401717094,344.9974027014231,a
466.4141584054696,350.2575285165368,a
399.83886032213553,348.2544496996532,a
441.08471737818115,327.2941606237413,a
429.6730728394893,339.03761253118915,a
477.18095560198185,299.84001426131067,a
475.15613991732977,279.97786637743326,a
495.0887808756353,267.15359366711203,a
459.580710935672,259.69153803163726,a
526.8271177788586,250.25165350027925,a
493.4504279420228,221.20698758961657,a
461.2222496059263,262.440156284199,a
497.42669184921596,232.37403198754475,a
482.7016387896694,177.82850547860653,a
494.27224441101924,214.75703888763826,a
561.1097382187555,307.7656213530842,a
521.1778881633091,301.5999167023988,a
547.6195119277091,246.8582967603224,a
535.1178121866153,268.81912424293046,a
583.649083951404,314.24117874440174,a
553.9435911019232,310.42820461990357,a
582.42929888993,307.08490028110316,a
552.6464624952512,304.39056846484414,a
577.5266025680872,346.41793518744737,a
624.8013222823403,359.93530528383826,a
593.122727460154,313.53906849698427,a
541.2457720529951,344.96928879305517,a
563.47572671445,335.47231915757163,a
556.2845323901374,350.13400852800504,a
235.9828676448184,137.3790235583918,a
238.6708942521949,95.64497583038366,a
231.7873666030688,109.29028907519898,a
235.7485587756133,118.12264322032235,a
276.99061686219676,159.8485044363723,a
295.9632499886376,147.0801153498818,a
266.6422130142643,157.9249777515023,a
277.1068438713365,78.80002768271964,a
296.9071282862171,83.62861241325004,a
306.7846002953915,116.03255951231722,a
254.61337508283293,142.47964898045024,a
284.65407948489815,84.52562002432785,a
227.18892849612794,46.68240040048386,a
230.24784830701816,20.99109452052636,a
318.69308540955626,40.318059426390505,a
238.15040573839457,16.57372117066177,a
224.5952960966523,-18.436238268138368,a
228.88759696907266,-26.68357034475548,a
162.40195302892116,-11.211215121534167,a
178.43429625237786,14.772123548277023,a
187.86560325099367,11.052822166846056,a
100.88747612191513,-0.5139911878336534,a
150.2316767015317,33.876688360178775,a
170.69787661840408,64.87913214667083,a
175.00149011418833,66.69994760806208,a
167.08826410459207,63.69202356760246,a
193.4811147923669,45.49552278852161,a
142.277353035748,163.9299868217994,a
181.60568872015628,137.2998583315761,a
175.94801534022363,111.35261044615822,a
222.94665254884234,114.06770401666569,a
217.44810336753787,120.18060439993064,a
211.71386599392997,149.76495064682615,a
220.9492500812103,97.21024859426171,a
225.03216676074356,155.31022783164275,a
234.7725957387842,125.66891867688605,a
233.98204972812852,89.47798458651437,a
238.74269043659797,163.66007199706053,a
245.94227105391596,112.16964763217845,a
290.90908603135944,79.48769278712979,a
210.54035215416621,57.98207892733376,a
259.3101021802396,141.8151013950902,a
179.7996556860562,82.2965512758218,a
218.7672953784687,59.465333434632214,a
248.58217783647385,69.77044950529557,a
240.16432109123133,69.12373843524205,a
241.57176176392852,99.25136468723213,a
183.08768575490893,109.54143137211815,a
242.5787379367251,91.65666978854665,a
206.01837020143535,140.58707599672516,a
158.71530090524976,67.08332785356004,a
231.12098538992677,149.36040057864562,a
184.61117059323473,131.60016793817402,a
214.77137715182164,115.10246062719432,a
187.2016082027374,147.44158432945505,a
173.17042191317884,155.17520771380987,a
214.6030763162739,148.51279430317265,a
216.6699286791765,126.65252971389395,a
245.7538611150059,156.93748839332625,a
224.7972072526389,121.94942545822198,a
249.010923798408,177.76984571138576,a
235.07143063587588,104.37208686492346,a
249.1523216334856,105.13419167718462,a
295.63611427661857,123.81744418136299,a
280.8587660349232,140.49801371317034,a
230.912127086576,67.99599189710818,a
243.80758604261072,139.9616517314737,a
265.2784344016664,115.39060964504478,a
261.6526471288764,67.75448535190878,a
252.54223820633982,77.64568877081803,a
252.70494838753348,69.12615846607412,a
301.6014429752036,103.76245113767936,a
208.79038206061372,57.16770353466512,a
255.0062341333822,35.31833910458397,a
165.9955680542599,88.85476386665601,a
144.34010666091402,74.70363406995489,a
191.6012555142139,85.08201476862882,a
152.00834137253315,98.89740977402755,a
119.28409644653559,70.04227337117504,a
195.15086388999325,114.5494290936548,a
228.82979354106945,98.44894295764402,a
190.9640257341704,66.13762260620575,a
179.98336923063866,111.44993334001828,a
